no,gen,trim,year,km,color,accident,price
1146,0,2,2007,59405,1,1,450
1147,0,1,2010,190207,1,1,370
1148,0,0,2009,191902,1,1,340
1149,0,2,2010,112989,0,1,369
1150,0,1,2008,72754,1,1,360
1151,0,1,2008,166000,1,1,360
1152,0,1,2007,77525,1,1,351
1153,0,2,2008,95248,1,1,320
1154,0,1,2009,187920,1,1,350
1155,0,1,2009,113372,1,1,350
1156,0,1,2007,108677,1,1,350
1157,0,1,2009,110000,1,0,350
1158,0,2,2007,100962,1,1,380
1159,0,0,2009,135395,1,1,320
1160,0,2,2007,110626,1,1,370
1161,0,0,2009,93000,1,1,380
1162,0,1,2007,134207,1,1,349
1163,0,2,2009,63000,1,1,480
1164,0,1,2007,166124,1,0,349
1165,0,2,2009,121934,1,1,330
1166,0,1,2007,101808,1,1,330
1167,0,1,2007,98645,1,1,330
1168,1,1,2011,131000,1,1,599
1169,1,1,2011,126835,1,1,620
1170,1,2,2012,103668,1,1,750
1171,1,1,2012,118985,0,0,620
1172,1,2,2012,151330,0,1,699
1173,1,1,2013,56969,1,1,859
1174,1,2,2011,107059,0,1,670
1175,1,1,2011,129970,0,1,579
1176,1,2,2013,106063,1,0,750
1177,1,0,2014,33734,0,0,850
1178,1,1,2013,152905,0,1,480
1179,1,2,2011,126489,0,1,680
1180,1,2,2012,70442,0,0,890
1181,1,2,2013,78604,1,1,690
1182,1,1,2014,32519,1,1,780
1183,1,1,2012,47960,1,0,830
1184,1,1,2012,61758,0,1,800
1185,1,1,2011,90804,0,1,730
1186,1,1,2014,146499,0,1,700
1187,1,0,2011,120681,1,1,580
1188,1,0,2012,63655,1,1,690
1189,1,1,2011,136950,0,1,420
1190,1,1,2012,123040,1,1,490
1191,1,1,2012,135347,1,1,550
1192,1,1,2012,145734,0,1,555
1193,1,1,2011,97538,0,1,640
1194,1,2,2011,103779,1,1,660
1195,1,2,2012,65069,0,1,880
1196,1,1,2013,91252,0,1,870
1197,1,2,2012,107495,0,1,690
1198,1,1,2011,109800,1,1,620
1199,1,2,2012,113177,0,1,630
1200,1,2,2012,124584,1,0,750
1201,1,2,2012,81437,0,0,820
1202,1,0,2011,123683,1,1,490
1203,1,0,2011,153109,0,1,430
1204,1,1,2013,95570,0,1,670
1205,1,1,2013,69015,0,0,930
1206,1,2,2011,37660,1,0,880
1207,1,2,2011,121765,1,1,530
1208,1,1,2012,102123,0,0,630
1209,1,2,2012,92786,0,1,770
1210,1,1,2013,133273,0,1,590
1211,1,1,2013,61804,1,1,670
1212,1,2,2011,100521,1,1,740
1213,1,1,2013,139407,0,0,690
1214,1,2,2013,105685,0,1,750
1215,1,2,2013,114556,1,0,880
1216,1,1,2012,42364,0,0,830
1217,1,1,2011,163959,1,1,460
1218,1,1,2012,107766,1,1,690
1219,1,1,2011,125735,0,1,650
1220,1,1,2011,91498,1,1,580
1221,1,1,2011,81663,1,1,720
1222,1,1,2013,61700,1,1,750
1223,1,1,2012,108701,0,1,700
1224,1,2,2012,156951,0,1,610
1225,1,2,2012,79400,0,1,599
1226,1,1,2014,43435,1,1,770
1227,1,2,2013,82264,0,1,850
1228,1,1,2012,122108,1,1,630
1229,1,1,2012,107959,1,1,548
1230,1,1,2012,65739,1,1,690
1231,1,1,2012,78275,0,1,750
1232,1,2,2011,126465,1,1,630
1233,1,1,2013,88932,1,1,730
1234,1,2,2013,105121,0,1,839
1235,1,2,2013,78439,0,0,899
1236,1,1,2013,110982,1,1,650
1237,1,1,2011,96269,1,1,585
1238,1,1,2011,117395,1,1,549
1239,1,1,2012,74313,1,1,720
1240,1,1,2011,96541,1,1,490
1241,1,2,2013,109547,1,1,750
1242,1,1,2013,106063,0,0,750
1243,1,1,2014,45903,1,1,880
1244,1,1,2011,63219,1,1,670
1245,1,2,2012,146141,0,1,650
1246,1,0,2012,126156,0,1,530
1247,1,2,2012,101558,1,0,799
1248,1,1,2012,164391,1,1,570
1249,1,1,2013,69931,0,1,760
1250,1,2,2012,97859,0,1,730
1251,1,1,2012,131091,0,1,590
1252,1,0,2012,10260,1,0,680
1253,1,2,2011,97552,0,1,690
1254,1,2,2013,101641,0,0,890
1255,1,1,2012,45225,0,0,890
1256,1,1,2013,107151,0,1,730
1257,1,1,2014,60367,1,1,900
1258,1,2,2011,56762,0,1,730
1259,1,2,2012,80600,0,1,790
1260,1,2,2012,86435,1,1,599
1261,1,1,2011,52582,1,1,699
1262,1,1,2012,63195,1,0,750
1263,1,2,2012,69348,1,1,870
1264,1,1,2012,106619,0,0,799
1265,1,1,2012,99713,1,1,630
1266,1,1,2012,131229,0,0,640
1267,1,1,2012,78370,0,0,750
1268,1,1,2012,71240,1,0,750
1269,1,1,2014,145818,1,1,690
1270,1,1,2014,109139,0,0,850
1271,1,2,2013,96297,0,0,870
1272,1,2,2013,140274,0,0,690
1273,1,1,2011,69074,1,1,610
1274,1,1,2011,171316,1,1,360
1275,1,1,2011,102173,1,1,400
1276,1,2,2012,136277,1,1,680
1277,1,1,2013,104803,1,1,650
1278,1,1,2011,35887,1,1,670
1279,1,1,2012,132235,1,1,510
1280,1,1,2011,73044,1,1,650
1281,1,1,2012,125652,0,1,590
