cid,model,badge,badgedetail,formyear,mileage,price,color,accident
31228998,"아반떼 AD","1.6 GDI 스타일","",2018,99285,1020,흰색,frontFenderRight|frontDoorRight
30670028,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,89120,899,흰색,frontFenderRight|hood|sideSillPanelLeft|frontDoorLeft|radiatorSupport|frontFenderLeft
30670148,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,89120,16,흰색,frontFenderRight|hood|sideSillPanelLeft|frontDoorLeft|radiatorSupport|frontFenderLeft
31228082,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,38440,21,흰색,pillarPanelFrontRight|frontFenderRight|hood|sideSillPanelRight|frontDoorRight|radiatorSupport|frontFenderLeft
31228521,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,38440,1159,흰색,pillarPanelFrontRight|frontFenderRight|hood|sideSillPanelRight|frontDoorRight|radiatorSupport|frontFenderLeft
31113699,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,53972,1320,흰색,
30727277,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,40845,1070,은색,quarterPanelRight|rearDoorRight|quarterPanelLeft
30727277,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,40845,1070,은색,quarterPanelRight|rearDoorRight|quarterPanelLeft
31129186,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,28463,1400,쥐색,
30981643,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,92371,950,진주색,quarterPanelLeft|hood|radiatorSupport
31028589,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,66800,1040,흰색,hood|trunkLead|sideSillPanelRight|radiatorSupport|trunkFloor|frontFenderLeft|rearPanel
30852505,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,36634,1380,진주색,hood
31229791,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,75533,1420,진주색,
29982918,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,81625,1250,검정색,frontFenderRight
31053202,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,76500,1550,은색,
31185884,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,21000,1490,흰색,
30785024,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,53000,1299,흰색,
30853087,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,125695,1040,흰색,
31169578,"아반떼 AD","1.6 GDI 모던","(세부등급 없음)",2016,61216,1350,흰색,
30887601,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,73904,1150,흰색,frontFenderLeft
31084607,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,53568,1290,흰색,rearDoorLeft
31004726,"아반떼 AD","1.6 GDI 프리미엄","",2016,77320,1400,흰색,rearDoorLeft
30615804,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,34636,1090,청색,frontDoorRight|rearDoorLeft
30242080,"아반떼 AD","1.6 GDI 스타일","",2018,173886,750,흰색,frontFenderRight|hood|insidePanelLeft|radiatorSupport|frontFenderLeft
30182282,"아반떼 AD","1.6 GDI 스타일","",2017,137852,780,흰색,frontFenderRight|quarterPanelLeft|trunkLead|frontDoorLeft|frontDoorRight|radiatorSupport|frontFenderLeft|rearDoorLeft
31112539,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,71159,1250,흰색,rearDoorRight
31118032,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,84300,1290,흰색,
31095936,"아반떼 AD","1.6 GDI 프리미엄","",2016,84531,1490,검정색,
30260924,"아반떼 AD","1.6 GDI 모던","스페셜",2016,153260,990,검정색,trunkLead|rearPanel
30861626,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,86086,1230,검정색,
30643385,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,44882,1249,흰색,
31111995,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,48741,1430,흰색,
31169964,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,107085,1099,흰색,
31195223,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,73000,1300,흰색,
31018569,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,25000,1600,흰색,
30867279,"아반떼 AD","1.6 GDI 프리미엄","",2017,62920,1560,흰색,hood|frontFenderLeft
31126746,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,75587,1230,흰색,frontFenderRight|hood|radiatorSupport|frontFenderLeft
30866854,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,56480,1360,쥐색,frontFenderRight
30519495,"아반떼 AD","1.6 GDI 모던","스페셜",2016,33496,1300,청색,hood
30717683,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,74000,1250,은색,
30537961,"아반떼 AD","1.6 GDI 모던","(세부등급 없음)",2016,83300,1330,빨간색,
30626998,"아반떼 AD","1.6 GDI 모던","스페셜",2016,118586,999,갈색,hood|radiatorSupport
30887606,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,74077,1320,은색,
31113141,"아반떼 AD","1.6 GDI 스타일","",2017,101000,1050,흰색,hood|frontFenderLeft
31178233,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,30531,1510,흰색,
31028815,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,32626,1290,흰색,hood|insidePanelLeft|frontFenderLeft
30738570,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,83000,1120,은색,frontFenderRight|rearDoorRight|frontDoorRight
30818128,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,131867,890,흰색,frontFenderRight|rearDoorRight|hood|frontDoorRight|radiatorSupport|frontFenderLeft
31054221,"아반떼 AD","1.6 GDI 프리미엄","",2017,45424,1590,청색,frontFenderRight
31077226,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,22878,1490,흰색,
31106813,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,107435,1130,은색,hood|radiatorSupport
31057879,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,84441,1260,쥐색,
31187031,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,30593,1360,청색,
30428934,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,109643,1280,흰색,
